season,team_name,playoffs
2010-11,Boston Celtics,1
2010-11,Los Angeles Lakers,1
2010-11,Portland Trail Blazers,1
2010-11,Houston Rockets,0
2010-11,Miami Heat,1
2010-11,Phoenix Suns,0
2010-11,Chicago Bulls,1
2010-11,Dallas Mavericks,1
2010-11,Denver Nuggets,1
2010-11,Golden State Warriors,0
2010-11,Milwaukee Bucks,0
2010-11,Minnesota Timberwolves,0
2010-11,Indiana Pacers,1
2010-11,Sacramento Kings,0
2010-11,Oklahoma City Thunder,1
2010-11,Toronto Raptors,0
2010-11,Utah Jazz,0
2010-11,Memphis Grizzlies,1
2010-11,Detroit Pistons,0
2010-11,Atlanta Hawks,1
2010-11,Cleveland Cavaliers,0
2010-11,New Orleans Pelicans,1
2010-11,Los Angeles Clippers,0
2010-11,Brooklyn Nets,0
2010-11,New York Knicks,1
2010-11,Philadelphia 76ers,1
2010-11,San Antonio Spurs,1
2010-11,Charlotte Hornets,0
2010-11,Orlando Magic,1
2010-11,Washington Wizards,0
2011-12,Boston Celtics,1
2011-12,Chicago Bulls,1
2011-12,Dallas Mavericks,1
2011-12,Golden State Warriors,0
2011-12,New York Knicks,1
2011-12,Oklahoma City Thunder,1
2011-12,Los Angeles Clippers,1
2011-12,Los Angeles Lakers,1
2011-12,Miami Heat,1
2011-12,Orlando Magic,1
2011-12,New Orleans Pelicans,0
2011-12,Denver Nuggets,1
2011-12,Brooklyn Nets,0
2011-12,Indiana Pacers,1
2011-12,Sacramento Kings,0
2011-12,San Antonio Spurs,1
2011-12,Toronto Raptors,0
2011-12,Memphis Grizzlies,1
2011-12,Washington Wizards,0
2011-12,Detroit Pistons,0
2011-12,Charlotte Hornets,0
2011-12,Cleveland Cavaliers,0
2011-12,Houston Rockets,0
2011-12,Milwaukee Bucks,0
2011-12,Philadelphia 76ers,1
2011-12,Phoenix Suns,0
2011-12,Minnesota Timberwolves,0
2011-12,Portland Trail Blazers,0
2011-12,Atlanta Hawks,1
2011-12,Utah Jazz,1
2012-13,Cleveland Cavaliers,0
2012-13,Los Angeles Lakers,1
2012-13,Miami Heat,1
2012-13,Boston Celtics,1
2012-13,Dallas Mavericks,0
2012-13,Washington Wizards,0
2012-13,New Orleans Pelicans,0
2012-13,Denver Nuggets,1
2012-13,Golden State Warriors,1
2012-13,Los Angeles Clippers,1
2012-13,Indiana Pacers,1
2012-13,Philadelphia 76ers,0
2012-13,Chicago Bulls,1
2012-13,Houston Rockets,1
2012-13,Phoenix Suns,0
2012-13,Portland Trail Blazers,0
2012-13,Sacramento Kings,0
2012-13,San Antonio Spurs,1
2012-13,Toronto Raptors,0
2012-13,Utah Jazz,0
2012-13,Memphis Grizzlies,1
2012-13,Detroit Pistons,0
2012-13,Oklahoma City Thunder,1
2012-13,Atlanta Hawks,1
2012-13,New York Knicks,1
2012-13,Orlando Magic,0
2012-13,Milwaukee Bucks,1
2012-13,Minnesota Timberwolves,0
2012-13,Charlotte Hornets,0
2012-13,Brooklyn Nets,1
2013-14,Los Angeles Lakers,0
2013-14,Miami Heat,1
2013-14,Orlando Magic,0
2013-14,Indiana Pacers,1
2013-14,Chicago Bulls,1
2013-14,Los Angeles Clippers,1
2013-14,Cleveland Cavaliers,0
2013-14,Denver Nuggets,0
2013-14,Minnesota Timberwolves,0
2013-14,Brooklyn Nets,1
2013-14,New York Knicks,0
2013-14,Oklahoma City Thunder,1
2013-14,Toronto Raptors,1
2013-14,Utah Jazz,0
2013-14,Washington Wizards,1
2013-14,Charlotte Hornets,1
2013-14,Boston Celtics,0
2013-14,New Orleans Pelicans,0
2013-14,Dallas Mavericks,1
2013-14,Golden State Warriors,1
2013-14,Houston Rockets,1
2013-14,Milwaukee Bucks,0
2013-14,Philadelphia 76ers,0
2013-14,Phoenix Suns,0
2013-14,Portland Trail Blazers,1
2013-14,Sacramento Kings,0
2013-14,San Antonio Spurs,1
2013-14,Detroit Pistons,0
2013-14,Atlanta Hawks,1
2013-14,Memphis Grizzlies,1
2014-15,New Orleans Pelicans,1
2014-15,San Antonio Spurs,1
2014-15,Dallas Mavericks,1
2014-15,Houston Rockets,1
2014-15,Los Angeles Lakers,0
2014-15,Orlando Magic,0
2014-15,Atlanta Hawks,1
2014-15,Denver Nuggets,0
2014-15,Golden State Warriors,1
2014-15,Minnesota Timberwolves,0
2014-15,Brooklyn Nets,1
2014-15,New York Knicks,0
2014-15,Indiana Pacers,0
2014-15,Philadelphia 76ers,0
2014-15,Oklahoma City Thunder,0
2014-15,Memphis Grizzlies,1
2014-15,Detroit Pistons,0
2014-15,Charlotte Hornets,0
2014-15,Miami Heat,0
2014-15,Milwaukee Bucks,1
2014-15,Phoenix Suns,0
2014-15,Portland Trail Blazers,1
2014-15,Toronto Raptors,1
2014-15,Utah Jazz,0
2014-15,Washington Wizards,1
2014-15,Boston Celtics,1
2014-15,Chicago Bulls,1
2014-15,Sacramento Kings,0
2014-15,Los Angeles Clippers,1
2014-15,Cleveland Cavaliers,1
2015-16,Cleveland Cavaliers,1
2015-16,New Orleans Pelicans,0
2015-16,Chicago Bulls,0
2015-16,Golden State Warriors,1
2015-16,Detroit Pistons,1
2015-16,Atlanta Hawks,1
2015-16,Boston Celtics,1
2015-16,Houston Rockets,1
2015-16,Los Angeles Lakers,0
2015-16,Brooklyn Nets,0
2015-16,New York Knicks,0
2015-16,Orlando Magic,0
2015-16,Indiana Pacers,1
2015-16,Philadelphia 76ers,0
2015-16,Portland Trail Blazers,1
2015-16,Toronto Raptors,1
2015-16,Utah Jazz,0
2015-16,Washington Wizards,0
2015-16,Charlotte Hornets,1
2015-16,Dallas Mavericks,1
2015-16,Denver Nuggets,0
2015-16,Los Angeles Clippers,1
2015-16,Miami Heat,1
2015-16,Milwaukee Bucks,0
2015-16,Minnesota Timberwolves,0
2015-16,Phoenix Suns,0
2015-16,Sacramento Kings,0
2015-16,San Antonio Spurs,1
2015-16,Oklahoma City Thunder,1
2015-16,Memphis Grizzlies,1
2016-17,New York Knicks,0
2016-17,Portland Trail Blazers,1
2016-17,San Antonio Spurs,1
2016-17,Cleveland Cavaliers,1
2016-17,Golden State Warriors,1
2016-17,Utah Jazz,1
2016-17,New Orleans Pelicans,0
2016-17,Dallas Mavericks,0
2016-17,Houston Rockets,1
2016-17,Los Angeles Lakers,0
2016-17,Minnesota Timberwolves,0
2016-17,Brooklyn Nets,0
2016-17,Phoenix Suns,0
2016-17,Memphis Grizzlies,1
2016-17,Detroit Pistons,0
2016-17,Charlotte Hornets,0
2016-17,Boston Celtics,1
2016-17,Denver Nuggets,0
2016-17,Milwaukee Bucks,1
2016-17,Orlando Magic,0
2016-17,Indiana Pacers,1
2016-17,Philadelphia 76ers,0
2016-17,Sacramento Kings,0
2016-17,Oklahoma City Thunder,1
2016-17,Toronto Raptors,1
2016-17,Miami Heat,0
2016-17,Atlanta Hawks,1
2016-17,Los Angeles Clippers,1
2016-17,Washington Wizards,1
2016-17,Chicago Bulls,1
2017-18,Boston Celtics,1
2017-18,Houston Rockets,1
2017-18,Golden State Warriors,1
2017-18,Cleveland Cavaliers,1
2017-18,Atlanta Hawks,0
2017-18,New Orleans Pelicans,1
2017-18,Dallas Mavericks,0
2017-18,Miami Heat,1
2017-18,Milwaukee Bucks,1
2017-18,Brooklyn Nets,0
2017-18,Indiana Pacers,1
2017-18,Philadelphia 76ers,1
2017-18,Portland Trail Blazers,1
2017-18,Utah Jazz,1
2017-18,Memphis Grizzlies,0
2017-18,Detroit Pistons,0
2017-18,Charlotte Hornets,0
2017-18,Denver Nuggets,0
2017-18,Minnesota Timberwolves,1
2017-18,Orlando Magic,0
2017-18,Phoenix Suns,0
2017-18,Sacramento Kings,0
2017-18,San Antonio Spurs,1
2017-18,Washington Wizards,1
2017-18,Chicago Bulls,0
2017-18,Los Angeles Clippers,0
2017-18,Toronto Raptors,1
2017-18,Los Angeles Lakers,0
2017-18,New York Knicks,0
2017-18,Oklahoma City Thunder,1
2018-19,Golden State Warriors,1
2018-19,Boston Celtics,1
2018-19,Oklahoma City Thunder,1
2018-19,Philadelphia 76ers,1
2018-19,Atlanta Hawks,0
2018-19,Cleveland Cavaliers,0
2018-19,New Orleans Pelicans,0
2018-19,Dallas Mavericks,0
2018-19,Denver Nuggets,1
2018-19,Houston Rockets,1
2018-19,Los Angeles Clippers,1
2018-19,Miami Heat,0
2018-19,Minnesota Timberwolves,0
2018-19,Phoenix Suns,0
2018-19,Toronto Raptors,1
2018-19,Utah Jazz,1
2018-19,Detroit Pistons,1
2018-19,Charlotte Hornets,0
2018-19,Milwaukee Bucks,1
2018-19,Brooklyn Nets,1
2018-19,New York Knicks,0
2018-19,Indiana Pacers,1
2018-19,Sacramento Kings,0
2018-19,San Antonio Spurs,1
2018-19,Memphis Grizzlies,0
2018-19,Orlando Magic,1
2018-19,Chicago Bulls,0
2018-19,Los Angeles Lakers,0
2018-19,Portland Trail Blazers,1
2018-19,Washington Wizards,0
2019-20,New Orleans Pelicans,0
2019-20,Los Angeles Clippers,1
2019-20,Toronto Raptors,1
2019-20,Los Angeles Lakers,1
2019-20,Boston Celtics,1
2019-20,Chicago Bulls,0
2019-20,Miami Heat,1
2019-20,Minnesota Timberwolves,0
2019-20,Portland Trail Blazers,1
2019-20,San Antonio Spurs,0
2019-20,Utah Jazz,1
2019-20,Detroit Pistons,0
2019-20,Charlotte Hornets,0
2019-20,Cleveland Cavaliers,0
2019-20,Dallas Mavericks,1
2019-20,Denver Nuggets,1
2019-20,Brooklyn Nets,1
2019-20,New York Knicks,0
2019-20,Orlando Magic,1
2019-20,Indiana Pacers,1
2019-20,Philadelphia 76ers,1
2019-20,Phoenix Suns,0
2019-20,Sacramento Kings,0
2019-20,Oklahoma City Thunder,1
2019-20,Memphis Grizzlies,0
2019-20,Washington Wizards,0
2019-20,Atlanta Hawks,0
2019-20,Houston Rockets,1
2019-20,Golden State Warriors,0
2019-20,Milwaukee Bucks,1
2020-21,Los Angeles Clippers,1
2020-21,Los Angeles Lakers,1
2020-21,Golden State Warriors,0
2020-21,Brooklyn Nets,1
2020-21,Cleveland Cavaliers,0
2020-21,New Orleans Pelicans,0
2020-21,Chicago Bulls,0
2020-21,Minnesota Timberwolves,0
2020-21,Phoenix Suns,1
2020-21,Sacramento Kings,0
2020-21,San Antonio Spurs,0
2020-21,Toronto Raptors,0
2020-21,Utah Jazz,1
2020-21,Detroit Pistons,0
2020-21,Atlanta Hawks,1
2020-21,Boston Celtics,1
2020-21,Dallas Mavericks,1
2020-21,Miami Heat,1
2020-21,Milwaukee Bucks,1
2020-21,New York Knicks,1
2020-21,Orlando Magic,0
2020-21,Indiana Pacers,0
2020-21,Philadelphia 76ers,1
2020-21,Memphis Grizzlies,1
2020-21,Washington Wizards,1
2020-21,Denver Nuggets,1
2020-21,Portland Trail Blazers,1
2020-21,Charlotte Hornets,0
2020-21,Houston Rockets,0
2020-21,Oklahoma City Thunder,0
2021-22,Golden State Warriors,1
2021-22,Brooklyn Nets,1
2021-22,Los Angeles Lakers,0
2021-22,Milwaukee Bucks,1
2021-22,Cleveland Cavaliers,0
2021-22,New Orleans Pelicans,1
2021-22,Denver Nuggets,1
2021-22,Houston Rockets,0
2021-22,Orlando Magic,0
2021-22,Phoenix Suns,1
2021-22,Portland Trail Blazers,0
2021-22,Sacramento Kings,0
2021-22,Toronto Raptors,1
2021-22,Utah Jazz,1
2021-22,Washington Wizards,0
2021-22,Detroit Pistons,0
2021-22,Boston Celtics,1
2021-22,Chicago Bulls,1
2021-22,Minnesota Timberwolves,1
2021-22,Indiana Pacers,0
2021-22,Philadelphia 76ers,1
2021-22,San Antonio Spurs,0
2021-22,Oklahoma City Thunder,0
2021-22,Charlotte Hornets,0
2021-22,New York Knicks,0
2021-22,Memphis Grizzlies,1
2021-22,Los Angeles Clippers,0
2021-22,Atlanta Hawks,1
2021-22,Dallas Mavericks,1
2021-22,Miami Heat,1
2022-23,Boston Celtics,1
2022-23,Golden State Warriors,1
2022-23,Los Angeles Lakers,1
2022-23,Philadelphia 76ers,1
2022-23,Atlanta Hawks,1
2022-23,Cleveland Cavaliers,1
2022-23,Denver Nuggets,1
2022-23,Miami Heat,1
2022-23,Sacramento Kings,1
2022-23,San Antonio Spurs,0
2022-23,New Orleans Pelicans,0
2022-23,Dallas Mavericks,0
2022-23,Houston Rockets,0
2022-23,Minnesota Timberwolves,1
2022-23,Brooklyn Nets,1
2022-23,New York Knicks,1
2022-23,Indiana Pacers,0
2022-23,Phoenix Suns,1
2022-23,Portland Trail Blazers,0
2022-23,Oklahoma City Thunder,0
2022-23,Toronto Raptors,0
2022-23,Utah Jazz,0
2022-23,Memphis Grizzlies,1
2022-23,Washington Wizards,0
2022-23,Detroit Pistons,0
2022-23,Chicago Bulls,0
2022-23,Orlando Magic,0
2022-23,Charlotte Hornets,0
2022-23,Milwaukee Bucks,1
2022-23,Los Angeles Clippers,1
2023-24,Denver Nuggets,1
2023-24,Golden State Warriors,0
2023-24,Los Angeles Lakers,1
2023-24,Phoenix Suns,1
2023-24,New Orleans Pelicans,1
2023-24,Chicago Bulls,0
2023-24,Houston Rockets,0
2023-24,Los Angeles Clippers,1
2023-24,Miami Heat,1
2023-24,Brooklyn Nets,0
2023-24,New York Knicks,1
2023-24,Orlando Magic,1
2023-24,Sacramento Kings,0
2023-24,Oklahoma City Thunder,1
2023-24,Memphis Grizzlies,0
2023-24,Washington Wizards,0
2023-24,Detroit Pistons,0
2023-24,Atlanta Hawks,0
2023-24,Boston Celtics,1
2023-24,Cleveland Cavaliers,1
2023-24,Dallas Mavericks,1
2023-24,Minnesota Timberwolves,1
2023-24,Indiana Pacers,1
2023-24,Portland Trail Blazers,0
2023-24,San Antonio Spurs,0
2023-24,Toronto Raptors,0
2023-24,Utah Jazz,0
2023-24,Charlotte Hornets,0
2023-24,Milwaukee Bucks,1
2023-24,Philadelphia 76ers,1
2024-25,Boston Celtics,1
2024-25,Minnesota Timberwolves,1
2024-25,Los Angeles Lakers,1
2024-25,New York Knicks,1
2024-25,Golden State Warriors,1
2024-25,Houston Rockets,1
2024-25,Los Angeles Clippers,1
2024-25,Orlando Magic,1
2024-25,Portland Trail Blazers,0
2024-25,Utah Jazz,0
2024-25,Detroit Pistons,1
2024-25,Atlanta Hawks,0
2024-25,Cleveland Cavaliers,1
2024-25,New Orleans Pelicans,0
2024-25,Chicago Bulls,0
2024-25,Miami Heat,1
2024-25,Milwaukee Bucks,1
2024-25,Brooklyn Nets,0
2024-25,Indiana Pacers,1
2024-25,Phoenix Suns,0
2024-25,Toronto Raptors,0
2024-25,Memphis Grizzlies,1
2024-25,Charlotte Hornets,0
2024-25,Philadelphia 76ers,0
2024-25,Oklahoma City Thunder,1
2024-25,Washington Wizards,0
2024-25,Dallas Mavericks,0
2024-25,Denver Nuggets,1
2024-25,San Antonio Spurs,0
2024-25,Sacramento Kings,0